Symbol,Price,1h % change,24h % change,Volume (24h)
XMRETH,0.00000000,0.000,0.000,0.00000000
DLTBNB,0.00000000,0.000,0.000,0.00000000
WTCBNB,0.00000000,0.000,0.000,0.00000000
DLTBTC,0.00000000,0.000,0.000,0.00000000
DLTETH,0.00000000,0.000,0.000,0.00000000
AMBBTC,0.00000013,8.333,8.333,0.14115515
AMBETH,0.00000000,0.000,0.000,0.00000000
AMBBNB,0.00000000,0.000,0.000,0.00000000
BCCETH,0.00000000,0.000,0.000,0.00000000
BCCUSDT,0.00000000,0.000,0.000,0.00000000
BCCBNB,0.00000000,0.000,0.000,0.00000000
BATBTC,0.00000315,0.318,0.318,0.30086901
BATETH,0.00000000,0.000,0.000,0.00000000
BATBNB,0.00000000,0.000,0.000,0.00000000
BCPTBTC,0.00000000,0.000,0.000,0.00000000
BCPTETH,0.00000000,0.000,0.000,0.00000000
BCPTBNB,0.00000000,0.000,0.000,0.00000000
ARNBTC,0.00000000,0.000,0.000,0.00000000
ARNETH,0.00000000,0.000,0.000,0.00000000
GVTBTC,0.00000000,0.000,0.000,0.00000000
GVTETH,0.00000000,0.000,0.000,0.00000000
CDTBTC,0.00000000,0.000,0.000,0.00000000
CDTETH,0.00000000,0.000,0.000,0.00000000
GXSBTC,0.00000000,0.000,0.000,0.00000000
GXSETH,0.00000000,0.000,0.000,0.00000000
NEOUSDT,13.33000000,0.150,0.150,4124729.29760000
NEOBNB,0.00000000,0.000,0.000,0.00000000
POEBTC,0.00000000,0.000,0.000,0.00000000
POEETH,0.00000000,0.000,0.000,0.00000000
QSPBTC,0.00000000,0.000,0.000,0.00000000
QSPETH,0.00000000,0.000,0.000,0.00000000
QSPBNB,0.00000000,0.000,0.000,0.00000000
BTSBTC,0.00000000,0.000,0.000,0.00000000
BTSETH,0.00000000,0.000,0.000,0.00000000
BTSBNB,0.00000000,0.000,0.000,0.00000000
XZCBTC,0.00000000,0.000,0.000,0.00000000
XZCETH,0.00000000,0.000,0.000,0.00000000
XZCBNB,0.00000000,0.000,0.000,0.00000000
LSKBTC,0.00001858,-0.642,-0.642,0.52038196
LSKETH,0.00035390,0.283,0.283,0.43145844
LSKBNB,0.00000000,0.000,0.000,0.00000000
TNTBTC,0.00000000,0.000,0.000,0.00000000
TNTETH,0.00000000,0.000,0.000,0.00000000
FUELBTC,0.00000000,0.000,0.000,0.00000000
FUELETH,0.00000000,0.000,0.000,0.00000000
MANABTC,0.00000598,-0.167,-0.167,1.22779910
MANAETH,0.00011330,0.177,0.177,0.97541020
BCDBTC,0.00000000,0.000,0.000,0.00000000
BCDETH,0.00000000,0.000,0.000,0.00000000
DGDBTC,0.00000000,0.000,0.000,0.00000000
DGDETH,0.00000000,0.000,0.000,0.00000000
IOTABNB,0.00000000,0.000,0.000,0.00000000
ADXBTC,0.00000283,-0.702,-0.702,0.85347117
ADXETH,0.00005338,-0.280,-0.280,35.35744841
ADXBNB,0.00000000,0.000,0.000,0.00000000
ADABTC,0.00000640,1.426,1.426,39.07281150
ADAETH,0.00012080,1.683,1.683,80.64546120
PPTBTC,0.00000000,0.000,0.000,0.00000000
